,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5341928005218506,0.0,0.04399991035461426,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9530897609382047,0.9530897609382047,0.0,1
1,1.0641918182373047,0.0,0.07300090789794922,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9530897609382047,0.9530897609382047,0.0,1
2,1.8551926612854004,0.0,0.1309986114501953,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9530897609382047,0.9530897609382047,0.0,1
3,2.656190872192383,0.0,0.17299842834472656,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9530897609382047,0.9530897609382047,0.0,1
4,3.385185956954956,0.0,0.21599912643432617,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9530897609382047,0.9530897609382047,0.0,1
5,4.008325576782227,0.0,0.2727231979370117,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9530897609382047,0.9530897609382047,0.0,1
6,0.529191255569458,0.0,0.042000532150268555,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9530897609382047,0.9530897609382047,0.0,1
7,0.9821910858154297,0.0,0.07399868965148926,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9530897609382047,0.9530897609382047,0.0,1
8,1.8871874809265137,0.0,0.12300229072570801,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9530897609382047,0.9530897609382047,0.0,1
9,2.6439995765686035,0.0,0.17300152778625488,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9530897609382047,0.9530897609382047,0.0,1
10,3.3029983043670654,0.0,0.218003511428833,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9530897609382047,0.9530897609382047,0.0,1
11,4.080857276916504,0.0,0.2719995975494385,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9530897609382047,0.9530897609382047,0.0,1
