,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,1.9596047401428223,0.0,0.05819416046142578,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9587417369500798,0.9587417369500798,0.0,10
1,3.652926206588745,0.0,0.11500287055969238,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9592162223741171,0.9592162223741171,0.0,9
2,6.822261810302734,0.0,0.19800567626953125,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9585421412300683,0.9585421412300683,0.0,11
3,9.876665353775024,0.0,0.27699899673461914,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9594533029612757,0.9594533029612757,0.0,8
4,12.81466555595398,0.0,0.35100293159484863,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.959927140255009,0.959927140255009,0.0,5
5,15.04574465751648,0.0,0.4369997978210449,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.959927140255009,0.959927140255009,0.0,5
6,1.9927425384521484,0.0,0.05905270576477051,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9585421412300683,0.9585421412300683,0.0,11
7,3.817927360534668,0.0,0.11000394821166992,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.959471766848816,0.959471766848816,0.0,7
8,7.081260442733765,0.0,0.18400120735168457,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9599453800637233,0.9599453800637233,0.0,4
9,10.22766399383545,0.0,0.2760014533996582,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9604365620736698,0.9604365620736698,0.0,1
10,12.99766755104065,0.0,0.344998836517334,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9601820250284413,0.9601820250284413,0.0,3
11,15.912866830825806,0.0,0.42599964141845703,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9604185623293903,0.9604185623293903,0.0,2
